id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking,state
47082,30.0,https://www.4zida.rs/izdavanje/kuce/tara/oglas/zaovine/60eea908f543fe57032e37a5,izdavanje,kuce,Tara,Tara,60.0,2.0,,,1,,0,0,0.0,0,0,
25892,92700.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/majur/61f938501a232a7885259ab7,prodaja,kuce,Novi Sad,Petrovaradin,45.0,143.0,,,1,,0,1,500.0,1,0,
28588,500000.0,https://www.4zida.rs/prodaja/kuce/kragujevac/oglas/palilule/60ba16fcbc2e3b230d613468,prodaja,kuce,Kragujevac,Gradske lokacije,40.0,1070.0,grejanje na gas,,1,,0,0,7.0,1,1,
5021,6000.0,https://www.4zida.rs/izdavanje/kuce/beograd/oglas/vrcin/61795e3449716e185d28e150,izdavanje,kuce,Beograd,Grocka opština,30.0,900.0,,,2,,0,1,0.0,0,0,
38250,39900.0,https://www.4zida.rs/prodaja/kuce/smederevo/oglas/valjevska/5e20b6d127317158872534f2,prodaja,kuce,Smederevo,Smederevo,27.0,500.0,,,1,,0,0,6.0,0,0,
30360,15000.0,https://www.4zida.rs/prodaja/kuce/prijepolje/oglas/gornji-goracici/5f86c027b08a13032f66257b,prodaja,kuce,Prijepolje,Okolne lokacije,25.0,25.0,,,1,2013.0,0,0,0.0,0,0,
18013,60.0,https://www.4zida.rs/izdavanje/kuce/beograd/oglas/batajnicki-drum/61bc9d01682083349d0e7a55,izdavanje,kuce,Beograd,Batajnica,23.0,600.0,centralno grejanje,,1,,0,0,0.0,0,1,
12768,6000.0,https://www.4zida.rs/izdavanje/kuce/beograd/oglas/avalska/61af3820c749af084902304c,izdavanje,kuce,Beograd,Voždovac opština,23.0,1138.0,podno grejanje,,1,,0,1,12.0,0,0,
20445,85000.0,https://www.4zida.rs/prodaja/kuce/sabac/oglas/slatina/615317fb84e2de0e527d2f52,prodaja,kuce,Šabac,Okolne lokacije,20.0,1000.0,etažno grejanje,,1,2010.0,0,0,22.0,1,0,
8137,490000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/maksima-brankovica/61b5be26458eb9586a38853a,prodaja,kuce,Beograd,Zemun opština,20.0,850.0,,,1,2000.0,0,1,7.0,1,1,
46587,3500000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/vracar-centar-krunski-venac/601b2b332eed79689113e67c,prodaja,kuce,Beograd,Beograd,20.0,900.0,centralno grejanje,,4,1921.0,0,0,4.0,1,0,
27285,4000000.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/uzicka/61f3bf942f20813eca79e5b0,prodaja,kuce,Beograd,Savski Venac,20.0,1338.0,,,1,,0,0,10.0,1,0,
